,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
383,rio cuarto,99,AR,1557064800,100,-33.13,-64.35,64.4,6.93
384,saint-denis,40,FR,1557066670,61,48.94,2.36,53.6,17.22
385,taksimo,95,RU,1557066677,75,56.36,114.84,33.13,5.19
386,namatanai,100,PG,1557066677,89,-3.66,152.44,77.23,8.12
387,college,1,US,1557066668,79,64.86,-147.8,30.2,3.49
388,catuday,100,PH,1557066677,75,16.29,119.81,84.79,7.23
389,mahon,40,IE,1557066467,54,51.89,-8.4,57.99,9.17
390,baihar,0,IN,1557066678,16,22.11,80.55,87.67,2.39
391,vila franca do campo,20,PT,1557064800,59,37.72,-25.43,64.4,13.87
392,kosa,71,RU,1557066678,85,59.94,54.99,48.43,4.41
393,honningsvag,100,NO,1557066679,80,70.98,25.97,32.05,15.52
394,potosi,51,BO,1557061200,60,-19.59,-65.75,41.0,4.7
395,odienne,10,CI,1557066679,30,9.51,-7.57,98.47,5.55
396,qaqortoq,100,GL,1557066388,87,60.72,-46.03,40.69,7.85
397,oranjemund,94,ZA,1557066679,87,-28.55,16.43,61.03,5.68
398,mackay,75,CA,1557064800,68,53.65,-115.58,28.4,6.93
399,la asuncion,97,EC,1557066680,85,-1.64,-78.74,50.05,5.19
400,heerhugowaard,75,NL,1557066678,61,52.66,4.83,53.01,14.99
401,skjervoy,40,NO,1557064200,64,70.03,20.97,35.6,8.05
402,port lincoln,0,AU,1557066681,67,-34.72,135.86,62.11,9.28
403,birjand,40,IR,1557064800,11,32.86,59.22,80.6,16.11
404,kabompo,23,ZM,1557066682,42,-13.6,24.21,83.89,4.7
405,grand gaube,75,MU,1557066539,78,-20.01,57.66,78.8,12.75
406,moerai,3,PF,1557066682,78,-22.43,-151.33,74.89,13.35
407,tecoanapa,20,MX,1557064080,69,16.99,-99.26,75.2,4.7
408,topeka,1,US,1557066697,72,39.05,-95.68,64.99,5.82
409,podor,0,MR,1557066728,10,16.65,-14.96,105.13,9.37
410,udachnyy,0,RU,1557064800,41,66.42,112.4,23.0,4.47
411,kavieng,100,PG,1557066731,79,-2.57,150.8,83.17,10.67
412,santa maria,20,BR,1557061200,94,-29.69,-53.81,75.2,2.24
413,pandan niog,0,PH,1557066735,69,6.23,120.56,85.33,5.93
414,praia da vitoria,40,PT,1557066620,46,38.73,-27.07,69.8,18.05
415,talcahuano,90,CL,1557064800,87,-36.72,-73.12,57.2,4.7
416,watsa,100,CD,1557066735,35,3.04,29.53,91.81,2.98
417,sibu,75,MY,1557064800,88,2.29,111.83,78.8,2.24
418,labuan,75,BN,1557064800,83,5.28,115.24,84.2,5.3
419,puerto baquerizo moreno,20,EC,1557064800,88,-0.9,-89.6,78.8,10.29
420,kurumkan,52,RU,1557066736,61,54.33,110.32,25.57,4.65
421,birao,88,CF,1557066736,4,10.3,22.78,110.35,13.04
422,salalah,40,OM,1557064200,70,17.01,54.1,86.0,8.05
423,innisfail,90,CA,1557066562,92,52.02,-113.95,28.99,3.36
424,baruun-urt,2,MN,1557066737,24,46.68,113.28,42.31,4.27
425,gurun,75,MY,1557064800,74,5.82,100.48,84.2,2.24
426,carnot,97,CF,1557066737,54,4.94,15.87,88.57,5.14
427,tarakan,88,ID,1557066560,80,3.3,117.63,82.27,7.27
428,manacapuru,75,BR,1557064800,66,-3.3,-60.62,86.0,6.93
429,seoul,75,KR,1557066000,50,37.57,126.98,62.6,3.36
430,peace river,90,CA,1557066730,37,56.23,-117.29,35.01,9.17
431,hirara,100,JP,1557066738,69,24.8,125.28,75.97,11.7
432,shasta lake,0,US,1557066715,70,40.68,-122.36,59.0,3.24
433,osorno,75,CL,1557064800,100,-40.57,-73.14,53.6,5.82
434,elmira,90,US,1557066619,87,42.09,-76.81,55.0,6.93
435,kumluca,100,TR,1557066739,84,36.37,30.29,50.41,5.91
436,falmouth,0,GB,1557066647,66,50.16,-5.07,55.99,9.17
437,rodrigues alves,75,BR,1557064800,88,-7.74,-72.65,80.6,3.06
438,grand-santi,86,GF,1557066740,81,4.27,-54.38,82.81,4.0
439,rocha,100,UY,1557066740,89,-34.48,-54.34,74.35,10.76
440,kungurtug,77,RU,1557066740,27,50.6,97.53,39.43,2.21
441,creutzwald,0,DE,1557066725,50,49.2,6.69,55.0,11.41
442,ulkan,58,RU,1557066742,73,57.24,107.32,41.05,4.12
443,ust-nera,69,RU,1557066742,89,64.57,143.24,24.13,2.59
444,kannad,40,IN,1557064800,17,20.26,75.13,95.0,9.17
445,eenhana,0,NA,1557064800,14,-17.48,16.34,95.0,4.7
446,floro,40,NO,1557064200,75,61.6,5.03,41.0,23.04
447,key largo,75,US,1557066337,70,25.09,-80.45,87.01,11.41
448,saint-joseph,0,FR,1557066698,39,43.56,6.97,66.2,9.17
449,brae,100,GB,1557064200,63,60.4,-1.35,44.6,24.16
450,kroya,0,ID,1557066743,82,-6.5,108.06,78.85,3.13
451,deputatskiy,74,RU,1557066788,98,69.3,139.9,24.67,4.43
452,aasiaat,57,GL,1557066789,71,68.71,-52.87,39.97,21.77
453,codrington,10,AU,1557066454,87,-28.95,153.24,57.0,5.82
454,jaragua do sul,75,BR,1557066506,78,-26.49,-49.07,79.0,4.7
455,tonantins,100,BR,1557066795,81,-2.86,-67.77,83.71,2.35
456,imbituba,0,BR,1557064800,78,-28.24,-48.67,78.8,11.41
457,chapais,1,CA,1557064800,45,49.78,-74.86,44.6,10.29
458,shelburne,1,CA,1557066569,62,44.08,-80.2,57.99,4.7
459,pemba,75,MZ,1557064800,83,-12.97,40.52,82.4,17.22
460,tias,75,ES,1557064800,60,28.96,-13.65,71.6,12.75
461,shepsi,93,RU,1557066618,77,44.04,39.15,61.93,3.89
462,fonte boa,80,BR,1557066796,80,-2.51,-66.09,81.73,3.67
463,hambantota,75,LK,1557065400,94,6.12,81.12,82.4,5.82
464,jadu,0,LY,1557066797,23,31.95,12.03,79.57,11.07
465,fare,4,PF,1557066797,79,-16.7,-151.02,81.37,16.22
466,huanren,0,CN,1557066797,49,41.26,125.37,34.57,2.89
467,portland,75,US,1557066652,76,45.52,-122.67,53.01,3.36
468,juegang,100,CN,1557066796,81,32.31,121.18,64.0,1.99
469,yuli,12,NG,1557066798,12,10.52,9.86,106.39,7.31
470,dankaur,0,IN,1557066608,14,28.35,77.55,96.8,5.82
471,clyde river,90,CA,1557064800,100,70.47,-68.59,21.2,11.41
472,north bend,90,US,1557066792,100,43.41,-124.22,48.99,5.82
473,bilibino,84,RU,1557066798,93,68.06,166.44,14.59,3.0
474,baykit,100,RU,1557066799,95,61.68,96.39,43.21,9.53
475,chubbuck,1,US,1557066794,43,42.93,-112.47,52.0,3.36
476,marzuq,0,YE,1557066799,15,14.4,46.47,87.67,14.41
477,passo de camaragibe,75,BR,1557064800,54,-9.24,-35.49,84.2,16.11
478,visby,0,SE,1557065790,57,57.64,18.3,48.2,10.29
479,darhan,26,MN,1557066799,24,49.49,105.92,44.65,5.46
480,kharp,83,RU,1557066800,90,66.82,65.8,28.81,24.45
481,nchelenge,92,ZM,1557066800,64,-9.35,28.74,81.01,2.33
482,doha,0,QA,1557064800,31,25.29,51.53,102.2,8.05
483,poronaysk,85,RU,1557066800,85,49.22,143.1,34.75,4.54
484,ixtapa,75,MX,1557066670,60,20.71,-105.21,75.99,3.36
485,bukachacha,74,RU,1557066801,45,52.99,116.91,35.29,3.89
486,ahar,0,IR,1557066801,34,38.48,47.07,59.95,10.94
487,leh,99,IN,1557066801,67,34.16,77.58,20.71,4.83
488,buy,7,RU,1557066802,49,58.48,41.53,63.37,4.76
489,hay river,75,CA,1557064800,79,60.82,-115.79,23.0,2.24
490,numan,32,NG,1557066802,20,9.46,12.04,107.83,4.23
491,vardo,90,US,1557066796,88,39.62,-77.74,64.4,8.05
492,kasama,73,ZM,1557066803,74,-10.21,31.19,73.45,5.12
493,lazaro cardenas,5,MX,1557066606,24,28.39,-105.62,73.0,4.59
494,sobolevo,98,RU,1557066803,77,54.43,31.9,60.49,10.42
495,avera,90,US,1557066834,73,33.19,-82.53,75.2,9.17
496,prince rupert,90,CA,1557065640,100,54.32,-130.32,44.6,3.36
497,kieta,100,PG,1557066850,75,-6.22,155.63,82.27,6.55
498,sur,0,OM,1557066851,21,22.57,59.53,94.51,4.34
499,solnechnyy,100,RU,1557066855,91,50.72,136.64,35.47,7.31
500,bemidji,1,US,1557066842,52,47.48,-94.89,45.0,10.29
501,zykovo,50,RU,1557066855,68,55.24,40.35,65.53,6.87
502,ryotsu,98,JP,1557064800,76,38.08,138.43,53.6,1.12
503,challapata,25,BO,1557066856,60,-18.9,-66.78,47.53,7.87
504,bubaque,47,GW,1557066856,68,11.28,-15.83,80.83,17.45
505,caravelas,62,BR,1557066857,71,-17.73,-39.27,83.53,6.78
506,pitanga,1,BR,1557066857,61,-24.76,-51.76,78.31,6.35
507,mitu,39,IR,1557066858,41,36.2,46.09,59.95,10.4
508,tinskoy,0,RU,1557066858,43,56.15,96.92,52.21,3.53
509,srednekolymsk,96,RU,1557066858,91,67.46,153.71,27.55,9.57
510,fairview,90,US,1557066854,93,40.81,-74.0,57.99,11.41
511,nalut,0,LY,1557066859,13,31.86,10.98,81.55,15.93
512,souris,75,CA,1557066764,76,46.36,-62.25,57.0,3.36
513,tessalit,0,ML,1557066859,10,20.2,1.01,103.69,14.25
514,maracas,40,TT,1557066718,70,10.76,-61.44,88.0,17.22
515,jacareacanga,39,BR,1557066860,46,-6.22,-57.76,92.35,4.36
516,belfast,24,GB,1557066356,63,54.6,-5.93,50.0,8.05
517,malanville,100,NE,1557066861,15,11.86,3.39,109.09,6.76
518,guaratingueta,20,BR,1557066816,69,-22.82,-45.19,81.0,6.93
519,tromso,40,NO,1557066000,55,69.65,18.96,37.4,6.93
520,la rioja,83,AR,1557066862,79,-29.41,-66.86,67.15,7.31
521,ventspils,0,LV,1557064200,70,57.39,21.56,48.2,12.75
522,okhotsk,100,RU,1557066862,72,59.36,143.24,37.45,6.87
523,constitucion,5,MX,1557066615,41,23.99,-104.67,61.0,3.36
524,jacqueville,20,CI,1557064800,74,5.21,-4.42,87.8,14.99
525,yarada,20,IN,1557064800,79,17.65,83.27,87.8,6.93
526,ruiru,75,KE,1557066724,47,-1.16,36.96,77.0,9.17
527,san andres,12,PH,1557066863,77,13.32,122.68,81.19,4.41
528,alekseyevka,40,RU,1557064800,59,53.25,50.49,64.4,11.18
529,tura,0,IN,1557066739,64,25.52,90.21,81.19,6.6
530,zemio,100,CF,1557066864,43,5.02,25.13,90.01,4.92
531,algiers,40,US,1557066687,77,29.94,-90.04,73.99,12.75
532,waingapu,27,ID,1557066864,89,-9.65,120.26,74.89,6.96
533,cartagena del chaira,81,CO,1557066864,86,1.33,-74.84,78.85,1.72
534,pangai,11,TO,1557066864,82,-19.8,-174.35,79.57,17.58
535,chara,75,GR,1557064200,68,39.42,22.43,75.2,11.41
536,santa vitoria do palmar,100,BR,1557066640,80,-33.52,-53.37,78.31,10.56
537,severomuysk,99,RU,1557066865,95,56.17,113.57,25.93,5.32
538,reyes,75,BO,1557064800,83,-14.3,-67.34,80.6,2.59
539,vila velha,40,BR,1557065290,62,-3.71,-38.6,87.8,19.46
540,yerbogachen,100,RU,1557066865,94,61.28,108.01,38.53,7.16
541,muzhi,2,RU,1557066909,69,65.4,64.7,37.27,9.82
542,russell,90,AR,1557064800,68,-33.01,-68.8,64.4,8.05
543,lata,4,IN,1557066911,63,30.78,78.62,24.49,8.08
544,siddhapur,0,IN,1557066915,10,23.92,72.37,95.05,8.84
545,sal rei,75,CV,1557064800,60,16.18,-22.92,77.0,20.8
546,te anau,92,NZ,1557066916,97,-45.41,167.72,45.55,1.54
547,oliveira dos brejinhos,73,BR,1557066916,56,-12.32,-42.89,82.09,6.06
548,pangnirtung,1,CA,1557066916,93,66.15,-65.72,32.23,0.2
549,mount isa,0,AU,1557064800,45,-20.73,139.49,64.4,13.87
550,westport,40,IE,1557066783,50,53.8,-9.52,55.99,4.7
551,broken hill,0,AU,1557064800,66,-31.97,141.45,51.8,9.17
552,peniche,0,PT,1557066666,68,39.36,-9.38,73.4,12.75
553,santiago,75,CL,1557066797,71,-33.44,-70.65,70.0,4.99
554,kidal,91,ML,1557066919,8,18.44,1.41,106.75,9.93
555,malanje,75,AO,1557064800,74,-9.54,16.35,86.0,6.93
556,martapura,20,ID,1557064800,83,-3.41,114.85,82.4,3.36
557,asyut,0,EG,1557061200,19,27.18,31.19,96.8,5.82
558,tabou,75,CI,1557066920,61,4.42,-7.36,89.11,6.15
559,bonito oriental,46,HN,1557066920,72,15.75,-85.74,84.25,7.96
560,altamira,60,BR,1557066769,55,-3.2,-52.21,89.83,4.74
561,nizhniy chir,100,RU,1557066921,55,48.36,43.08,65.71,2.46
562,sakaiminato,75,JP,1557066788,59,35.55,133.23,60.8,6.93
563,bilma,0,NE,1557066922,4,18.69,12.92,107.65,4.43
564,westland,1,US,1557066917,50,42.32,-83.4,62.01,4.7
565,shakawe,44,BW,1557066922,26,-18.36,21.84,85.15,8.34
566,ca mau,68,VN,1557066923,74,9.18,105.15,85.51,5.48
567,kargasok,95,RU,1557066923,84,59.06,80.87,53.65,5.68
568,kachiry,8,KZ,1557066923,33,53.07,76.1,60.67,4.18
569,half moon bay,90,US,1557066918,76,37.46,-122.43,54.0,3.36
570,balingen,20,DE,1557066922,42,48.27,8.86,51.01,6.93
571,monrovia,51,LR,1557066924,77,6.33,-10.8,84.97,11.12
572,mayumba,98,GA,1557066924,85,-3.44,10.65,81.91,10.09
573,lincoln,75,GB,1557066787,57,53.23,-0.54,54.0,5.82
574,tidman,10,PH,1557066925,90,8.3,126.37,75.07,0.56
575,havre-saint-pierre,20,CA,1557064800,43,50.23,-63.6,50.0,5.82
576,chabahar,0,IR,1557064800,46,25.29,60.65,89.6,6.93
577,miles city,90,US,1557066682,86,46.41,-105.84,39.2,12.75
578,rawson,0,AR,1557066849,47,-43.3,-65.11,60.13,25.19
579,san policarpo,16,PH,1557066926,83,12.18,125.51,81.01,6.85
580,makubetsu,0,JP,1557066926,32,42.84,143.34,52.75,5.28
581,canazas,20,PA,1557064800,70,8.38,-82.3,86.0,1.12
582,honiara,75,SB,1557065700,94,-9.43,159.96,78.8,11.41
583,dedza,19,MW,1557066926,71,-14.38,34.33,70.57,5.06
584,huarmey,95,PE,1557066969,94,-10.07,-78.15,66.25,13.51
585,cap malheureux,75,MU,1557066839,78,-19.98,57.61,78.8,12.75
