,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
88,helong,100,CN,1557066254,95,25.94,116.13,62.29,3.74
89,east london,75,ZA,1557064800,88,-33.02,27.91,68.0,10.29
90,tasiilaq,50,GL,1557064200,69,65.61,-37.64,39.2,17.22
91,kavaratti,0,IN,1557066303,72,10.57,72.64,84.79,11.61
92,kapaa,1,US,1557065915,68,22.08,-159.32,69.8,8.05
93,tocopilla,84,CL,1557066304,98,-22.09,-70.2,62.65,16.02
94,hobart,75,AU,1557066015,62,-42.88,147.33,52.0,6.93
95,hasaki,20,JP,1557066230,93,35.73,140.83,62.6,4.7
96,kilindoni,100,TZ,1557066304,81,-7.91,39.67,82.27,15.55
97,sabzevar,85,IR,1557066304,36,36.21,57.68,68.77,9.71
98,esperance,75,TT,1557066007,83,10.24,-61.45,87.01,13.87
99,henties bay,0,NA,1557064927,91,-22.12,14.28,59.0,5.99
100,aksu,0,KZ,1557063000,22,52.04,76.93,68.0,6.71
101,luderitz,0,NA,1557061200,49,-26.65,15.16,73.4,4.7
102,carnarvon,100,ZA,1557066168,13,-30.97,22.13,78.13,14.23
103,rehli,95,IN,1557066305,14,23.64,79.06,96.85,8.77
104,yaan,100,NG,1557066306,39,7.38,8.57,98.11,4.7
105,qaanaaq,98,GL,1557066306,73,77.48,-69.36,27.91,2.28
106,plattsburgh,1,US,1557066274,66,44.69,-73.46,60.01,5.82
107,cockburn town,55,TC,1557066306,80,21.46,-71.14,79.39,18.54
108,kargil,86,PK,1557066307,44,34.56,76.13,32.41,3.2
109,mar del plata,0,AR,1557066296,51,-46.43,-67.52,52.57,20.29
110,cherskiy,2,RU,1557066307,88,68.75,161.3,19.09,5.91
111,sibolga,100,ID,1557066307,79,1.74,98.78,81.37,4.38
112,lebu,41,ET,1557066308,39,8.96,38.73,71.29,12.21
113,vestmannaeyjar,0,IS,1557064800,46,63.44,-20.27,50.0,9.17
114,airai,99,TL,1557066308,77,-8.93,125.41,75.79,4.9
115,belmonte,79,PT,1557065809,45,40.36,-7.35,73.0,3.0
116,omboue,100,GA,1557066309,82,-1.57,9.26,81.91,9.44
117,richards bay,0,ZA,1557066309,78,-28.77,32.06,78.13,19.35
118,vao,84,EE,1557066309,55,59.1,26.19,44.47,6.02
119,xuddur,65,SO,1557066310,55,4.12,43.89,86.95,6.76
120,najran,5,SA,1557064800,15,17.54,44.22,95.0,6.93
121,payson,1,US,1557066064,50,40.04,-111.73,57.99,12.75
122,kempten,75,CH,1557066303,49,47.33,8.82,50.0,10.29
123,davila,31,PH,1557066312,78,18.47,120.58,82.09,7.63
124,machaneng,0,BW,1557066312,25,-23.19,27.49,83.35,10.54
125,yellowknife,20,CA,1557066165,68,62.45,-114.38,32.0,3.36
126,nemuro,0,JP,1557066312,75,43.32,145.57,45.01,9.26
127,severo-kurilsk,0,RU,1557066312,92,50.68,156.12,35.47,1.7
128,hofn,75,IS,1557064800,75,64.25,-15.21,41.0,11.41
129,mandera,63,ET,1557066023,43,3.94,41.86,91.99,6.31
130,new norfolk,75,AU,1557066255,62,-42.78,147.06,52.0,6.93
131,vestmanna,40,FO,1557066000,51,62.16,-7.17,39.2,16.11
132,saskylakh,88,RU,1557066314,94,71.97,114.09,13.33,13.13
133,lorengau,93,PG,1557066314,89,-2.02,147.27,79.03,7.56
134,port hedland,7,AU,1557063000,49,-20.31,118.58,69.8,8.05
135,nago,75,IT,1557066341,57,45.88,10.89,54.0,4.7
136,tchibanga,100,GA,1557066363,75,-2.92,11.0,85.15,6.13
137,marsaxlokk,40,MT,1557066358,55,35.84,14.54,66.2,25.28
138,kahului,75,US,1557066143,88,20.89,-156.47,68.0,16.11
139,bowen,0,AU,1557066299,93,-20.01,148.25,63.0,5.82
140,roald,75,NO,1557066300,80,62.58,6.12,41.0,9.17
141,rio grande,75,BR,1557064800,88,-32.03,-52.1,77.0,2.24
142,margate,75,AU,1557066255,62,-43.03,147.26,52.0,6.93
143,tynda,99,RU,1557066365,79,55.15,124.74,33.13,5.73
144,mukhen,100,RU,1557066365,77,48.19,136.14,48.07,6.98
145,vila,0,IT,1557066364,30,45.18,8.4,62.6,3.36
146,porto novo,20,BR,1557064800,69,-23.68,-45.44,78.8,5.82
147,pochutla,20,MX,1557065807,74,15.74,-96.47,82.0,10.29
148,port elizabeth,90,US,1557066365,93,39.31,-74.98,59.0,11.41
149,nyurba,0,RU,1557066366,83,63.29,118.35,24.85,4.68
150,moita,20,PT,1557066364,63,38.65,-8.99,73.4,14.99
151,talagante,100,CL,1557066107,87,-33.66,-70.93,70.0,3.06
152,alice springs,0,AU,1557063000,43,-23.7,133.88,51.8,2.24
153,longonjo,40,AO,1557064800,39,-12.91,15.25,82.4,1.68
154,northam,20,GB,1557066323,61,51.04,-4.21,57.0,10.29
155,brokopondo,40,SR,1557064800,66,5.06,-54.98,86.0,9.17
156,corat,0,AZ,1557064800,63,40.57,49.71,62.6,10.29
157,tuktoyaktuk,20,CA,1557064800,84,69.44,-133.03,5.0,8.05
158,san patricio,92,PY,1557066368,85,-26.98,-56.83,77.95,6.87
159,sohag,0,EG,1557061200,5,26.55,31.7,98.6,5.82
160,pinheiro machado,69,BR,1557066369,74,-31.58,-53.38,79.57,13.96
161,ponta delgada,20,PT,1557064800,59,37.73,-25.67,64.4,13.87
162,santa marta,75,CO,1557064800,74,11.24,-74.21,84.2,6.93
163,ilulissat,41,GL,1557064200,33,69.22,-51.1,57.2,25.28
164,puerto ayora,40,EC,1557065711,88,-0.74,-90.35,78.8,11.41
165,dunedin,98,NZ,1557066223,86,-45.87,170.5,55.0,8.01
166,bintulu,75,MY,1557061200,88,3.17,113.03,80.6,1.77
167,patur,2,IN,1557066372,11,20.46,76.94,95.59,8.46
168,deer lake,90,CA,1557064800,75,49.18,-57.43,42.8,8.05
169,havelock,40,US,1557066205,88,34.88,-76.9,78.8,11.41
170,umm kaddadah,74,SD,1557066372,5,13.6,26.69,104.05,14.58
171,itarema,45,BR,1557066372,65,-2.92,-39.92,86.77,9.37
172,waipawa,76,NZ,1557064577,91,-39.94,176.59,44.01,3.18
173,mahebourg,75,MU,1557066239,78,-20.41,57.7,78.8,12.75
174,harper,1,US,1557066328,88,30.3,-99.24,69.01,16.53
175,klaksvik,40,FO,1557066000,51,62.23,-6.59,39.2,16.11
176,puerto escondido,5,MX,1557063660,69,15.86,-97.07,78.8,3.4
177,guerrero negro,1,MX,1557066374,85,27.97,-114.04,60.31,12.59
178,kirkland lake,1,CA,1557064800,62,48.15,-80.03,51.8,5.82
179,ugoofaaru,0,MV,1557066374,68,5.67,73.0,85.15,8.72
180,shenjiamen,100,CN,1557066375,89,29.96,122.3,63.91,7.38
181,haines junction,42,CA,1557066375,66,60.75,-137.51,31.87,3.24
182,saldanha,79,PT,1557066422,34,41.42,-6.55,70.21,1.88
183,ostrovnoy,100,RU,1557066423,90,68.05,39.51,33.31,2.15
184,necochea,77,AR,1557064288,88,-38.55,-58.74,62.01,1.99
185,katsuura,75,JP,1557065657,82,33.93,134.5,66.0,16.11
186,hudson bay,99,CA,1557066424,61,52.86,-102.4,31.87,5.75
187,nioro,19,GM,1557066424,11,13.79,-15.05,106.57,7.94
188,poway,90,US,1557066424,71,32.96,-117.04,60.01,5.82
189,coquimbo,0,CL,1557064800,72,-29.95,-71.34,59.0,3.36
190,inhambane,0,MZ,1557064800,58,-23.87,35.38,82.4,6.93
191,cajibio,42,CO,1557066425,30,2.03,-76.62,90.37,4.18
192,chuy,100,UY,1557066248,88,-33.69,-53.46,73.99,11.61
193,aklavik,75,CA,1557064800,73,68.22,-135.01,21.2,4.7
194,umm lajj,0,SA,1557066431,64,25.02,37.27,80.29,11.45
195,garango,5,BF,1557066431,16,11.8,-0.55,106.39,7.02
196,phangnga,40,TH,1557064800,83,8.45,98.53,80.6,12.75
197,ayame,100,CI,1557066432,51,5.61,-3.16,93.07,6.51
198,umba,100,RU,1557066432,73,66.69,34.34,36.91,3.44
199,butaritari,85,KI,1557066432,82,3.07,172.79,83.17,13.76
200,gashua,57,NG,1557066432,5,12.87,11.04,110.89,7.23
201,koumac,98,NC,1557066432,73,-20.56,164.28,77.41,10.8
202,gonaives,75,HT,1557064800,65,19.45,-72.68,80.6,2.24
203,stillwater,1,US,1557066381,77,36.12,-97.06,64.99,8.05
204,wajid,91,SO,1557066433,50,3.81,43.25,89.83,7.45
205,namibe,20,AO,1557064800,73,-15.19,12.15,75.2,11.41
206,jiwani,0,PK,1557066433,61,25.05,61.74,85.33,14.36
